Participant,Pretest_fake_covid_3,Pretest_fake_general_8,Pretest_fake_general_15,Pretest_fake_general_10,Pretest_real_general_4,Pretest_real_general_3,Pretest_real_general_21,Pretest_real_covid_4,Pretest_fake_general_3,Pretest_real_general_30,Pretest_real_general_22,Pretest_fake_general_16,Pretest_fake_general_1,Pretest_real_general_7,Pretest_fake_general_28,Pretest_fake_covid_9,Pretest_fake_general_7,Pretest_real_covid_6,Pretest_fake_covid_7,Pretest_fake_general_2,Pretest_fake_covid_1,Pretest_fake_general_14,Pretest_fake_covid_2,Pretest_fake_general_21,Pretest_real_general_1,Pretest_real_covid_5,Pretest_fake_general_19,Pretest_real_general_8,Pretest_real_general_11,Pretest_fake_general_17,Pretest_fake_general_13,Pretest_real_general_9,Pretest_real_general_6,Pretest_real_general_28,Pretest_real_covid_9,Pretest_real_covid_1,Pretest_real_general_12,Pretest_real_general_29,Pretest_fake_general_29,Pretest_real_general_25,Posttest_real_general_5,Posttest_real_general_10,Posttest_fake_general_20,Posttest_real_general_14,Posttest_fake_general_5,Posttest_real_covid_10,Posttest_fake_general_12,Posttest_real_covid_8,Posttest_real_general_19,Posttest_real_general_26,Posttest_real_general_2,Posttest_fake_covid_5,Posttest_fake_general_30,Posttest_real_general_24,Posttest_real_general_23,Posttest_real_general_16,Posttest_fake_general_9,Posttest_real_general_13,Posttest_fake_general_25,Posttest_fake_general_24,Posttest_fake_covid_10,Posttest_fake_general_26,Posttest_fake_general_18,Posttest_real_covid_3,Posttest_fake_general_6,Posttest_real_general_17,Posttest_real_general_27,Posttest_fake_covid_8,Posttest_fake_general_27,Posttest_fake_general_11,Posttest_fake_covid_6,Posttest_fake_general_4,Posttest_real_general_20,Posttest_real_covid_7,Posttest_fake_general_23,Posttest_real_general_31,Posttest_real_general_15,Posttest_real_general_18,Posttest_fake_general_22,Posttest_real_covid_2,Posttest_fake_covid_4,Pretest_real_general_13,Pretest_fake_covid_4,Pretest_fake_general_4,Pretest_real_general_17,Pretest_fake_general_25,Pretest_fake_general_18,Pretest_real_general_24,Pretest_fake_general_24,Pretest_real_covid_3,Pretest_fake_general_26,Pretest_fake_general_23,Pretest_real_general_27,Pretest_real_general_14,Pretest_real_general_16,Pretest_fake_general_5,Pretest_real_general_5,Pretest_real_general_20,Pretest_real_general_15,Pretest_real_covid_2,Pretest_fake_covid_5,Posttest_real_general_4,Posttest_fake_general_8,Posttest_fake_general_1,Posttest_fake_general_13,Posttest_fake_general_19,Posttest_real_covid_9,Posttest_real_general_29,Posttest_fake_general_15,Posttest_real_general_6,Posttest_real_general_11,Posttest_real_general_12,Posttest_real_general_1,Posttest_fake_covid_7,Posttest_real_general_22,Posttest_fake_general_7,Posttest_real_general_21,Posttest_real_covid_5,Posttest_fake_general_10,Posttest_fake_covid_2,Posttest_real_general_3,Pretest_real_covid_8,Pretest_fake_general_12,Pretest_fake_general_22,Pretest_fake_general_20,Pretest_fake_covid_8,Pretest_real_general_31,Pretest_real_covid_7,Pretest_real_general_19,Pretest_real_general_2,Pretest_real_general_26,Pretest_fake_general_9,Posttest_fake_general_2,Posttest_real_general_8,Posttest_fake_general_3,Posttest_fake_covid_3,Posttest_real_covid_6,Posttest_real_covid_1,Posttest_fake_general_21,Posttest_fake_general_14,Posttest_fake_general_17,Posttest_real_general_7,Pretest_real_general_18,Pretest_fake_general_30,Pretest_fake_general_11,Pretest_real_general_10,Pretest_real_covid_10,Pretest_fake_covid_10,Pretest_fake_general_6,Posttest_fake_general_29,Posttest_fake_general_28,Posttest_real_general_30,Posttest_real_covid_4,Posttest_fake_general_16,Posttest_real_general_9,Posttest_real_general_28,Pretest_fake_general_27,Posttest_fake_covid_9,Pretest_real_general_23,Pretest_fake_covid_6,Posttest_fake_covid_1,Posttest_real_general_25
t4h520t8l6,0,9,58,NA,NA,36,NA,63,25,NA,NA,60,0,62,NA,NA,4,NA,96,34,NA,84,57,9,NA,56,NA,NA,29,NA,NA,NA,65,91,15,63,45,63,40,81,NA,23,32,0,NA,60,NA,68,69,NA,0,5,88,66,NA,NA,35,NA,94,36,62,61,NA,69,74,69,55,NA,66,13,NA,36,26,36,NA,NA,NA,62,NA,NA,14,40,NA,NA,NA,NA,15,NA,NA,NA,NA,0,NA,NA,25,73,77,NA,100,100,NA,64,NA,NA,77,20,NA,NA,NA,NA,NA,NA,60,NA,42,NA,82,NA,80,NA,NA,NA,88,68,NA,42,62,NA,NA,NA,73,NA,NA,82,NA,NA,62,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,20,NA,NA,100,NA,NA,54,69,84,63,NA
fv550587mg,NA,NA,NA,NA,NA,74,62,NA,67,75,74,NA,NA,NA,NA,74,NA,74,NA,NA,72,75,76,76,77,NA,76,72,76,71,81,NA,74,74,NA,NA,NA,79,NA,NA,54,82,NA,64,65,NA,NA,64,67,NA,62,67,65,NA,68,42,NA,64,NA,NA,NA,NA,63,NA,NA,61,NA,NA,50,NA,63,76,NA,NA,66,NA,70,67,NA,NA,59,NA,NA,NA,NA,78,NA,73,72,73,79,NA,75,NA,NA,NA,NA,75,NA,73,NA,67,57,62,NA,NA,58,NA,61,NA,NA,67,NA,63,NA,27,NA,66,64,NA,NA,NA,79,73,71,73,77,74,NA,NA,76,70,64,NA,NA,62,NA,64,NA,NA,NA,50,NA,NA,80,NA,73,73,67,67,68,NA,71,65,69,NA,NA,NA,NA,NA,NA,58
9gyq37p5cy,NA,NA,0,79,0,58,NA,NA,NA,67,NA,NA,NA,NA,4,74,45,98,NA,NA,NA,NA,15,NA,NA,88,70,0,NA,NA,NA,NA,NA,NA,73,NA,0,89,66,93,NA,2,NA,NA,NA,57,NA,89,70,66,60,NA,35,NA,NA,NA,NA,44,42,0,71,NA,52,82,11,56,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,0,NA,0,NA,NA,25,NA,NA,NA,80,NA,NA,64,0,NA,0,72,0,58,90,NA,100,72,NA,0,0,0,NA,NA,NA,NA,65,0,NA,57,10,57,NA,73,NA,NA,NA,NA,NA,63,NA,34,26,67,27,NA,NA,NA,0,0,NA,1,0,NA,54,4,0,0,0,80,NA,61,NA,NA,NA,NA,NA,NA,NA,65,0,7,63,0,NA,99,62,83,NA
bl6prsnbw8,90,NA,NA,93,NA,100,NA,NA,NA,2,NA,NA,NA,87,0,NA,4,86,NA,1,NA,NA,9,0,NA,90,0,NA,NA,0,NA,0,NA,100,NA,NA,73,NA,NA,85,NA,5,14,NA,0,NA,NA,9,NA,NA,0,NA,NA,90,92,13,NA,0,NA,NA,100,NA,NA,93,0,NA,100,10,0,NA,NA,0,NA,NA,1,NA,0,NA,0,NA,NA,NA,0,NA,82,10,74,NA,0,NA,65,NA,NA,0,NA,NA,99,0,NA,100,82,14,14,0,14,NA,24,98,0,84,3,NA,0,0,78,NA,22,NA,NA,NA,NA,NA,100,NA,NA,NA,89,0,100,NA,100,0,NA,0,83,NA,NA,88,NA,5,NA,NA,100,0,6,NA,82,NA,NA,0,NA,NA,96,0,NA,NA,NA,0,NA,85,75,NA
a88pynsg65,17,NA,NA,76,84,58,NA,NA,0,100,NA,NA,NA,81,NA,NA,55,NA,100,18,2,98,4,NA,NA,93,43,NA,NA,8,23,20,44,NA,78,0,NA,96,NA,NA,7,NA,NA,NA,93,100,NA,88,NA,11,NA,100,NA,NA,93,96,NA,NA,90,0,NA,83,15,100,NA,97,98,5,NA,NA,91,2,100,NA,0,NA,81,NA,20,NA,0,94,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,96,NA,NA,64,0,NA,NA,NA,NA,2,NA,4,11,64,NA,25,NA,1,NA,NA,NA,NA,NA,91,NA,87,NA,74,95,67,67,NA,1,NA,90,NA,NA,100,NA,100,NA,NA,NA,93,0,41,18,NA,96,93,88,69,NA,100,91,NA,100,93,9,NA,NA,NA,85
64agbret7f,100,NA,100,NA,100,100,100,100,NA,NA,NA,100,100,100,100,100,NA,NA,NA,100,100,100,NA,NA,100,NA,100,NA,NA,67,NA,NA,100,NA,100,100,NA,86,NA,NA,NA,0,70,NA,100,NA,100,NA,100,NA,100,NA,NA,NA,100,100,100,NA,NA,NA,100,NA,100,77,100,NA,100,100,100,NA,100,100,NA,53,NA,17,100,NA,NA,100,NA,100,100,NA,100,100,NA,100,0,NA,100,100,NA,22,NA,NA,100,100,NA,NA,0,NA,74,NA,100,NA,NA,NA,NA,NA,100,100,NA,100,100,100,NA,28,100,100,NA,100,NA,22,NA,NA,NA,NA,NA,NA,100,NA,NA,100,100,NA,13,NA,0,NA,NA,NA,100,100,0,NA,100,NA,NA,100,NA,100,NA,NA,100,100,NA,NA,NA,NA,NA,100
6chzer37j0,100,0,0,NA,61,NA,23,12,27,0,NA,0,100,53,NA,63,NA,NA,NA,NA,NA,NA,NA,78,NA,100,NA,73,0,NA,26,31,87,NA,NA,NA,50,NA,50,4,68,0,NA,0,0,100,NA,NA,NA,NA,NA,NA,53,100,98,55,0,NA,NA,NA,100,NA,0,100,NA,83,77,NA,0,NA,81,25,100,NA,0,NA,100,34,3,NA,NA,68,0,NA,NA,0,NA,NA,72,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,100,100,NA,NA,NA,NA,14,100,78,NA,NA,NA,NA,83,100,100,78,NA,NA,100,0,15,100,99,NA,75,53,58,100,100,61,0,NA,68,NA,NA,NA,67,72,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,14,NA,NA,NA,NA,58,NA,NA,NA,NA,100,NA
e173nyjx23,NA,NA,39,NA,NA,NA,NA,93,28,67,NA,NA,11,33,18,NA,NA,NA,NA,61,90,NA,NA,98,43,75,1,NA,NA,9,32,61,75,NA,NA,NA,14,NA,7,25,74,25,NA,23,23,NA,77,68,NA,NA,59,NA,35,81,NA,NA,NA,NA,17,NA,NA,38,59,NA,28,86,68,80,NA,25,NA,NA,71,NA,18,NA,NA,NA,28,98,NA,22,13,25,NA,NA,NA,NA,4,76,NA,NA,NA,NA,65,NA,NA,NA,78,NA,86,29,36,NA,NA,NA,83,70,NA,NA,30,NA,NA,76,73,13,93,NA,66,33,58,NA,NA,NA,7,NA,24,60,63,NA,31,0,NA,31,NA,82,88,68,NA,23,NA,NA,91,NA,NA,NA,93,89,NA,NA,NA,NA,NA,16,NA,79,23,74,63,70,NA,NA
7g168q8p58,NA,NA,NA,NA,NA,32,72,35,22,100,32,NA,NA,NA,25,65,NA,NA,NA,66,NA,27,87,NA,NA,NA,NA,NA,50,NA,65,NA,NA,31,76,68,21,34,39,NA,NA,NA,NA,NA,NA,71,42,59,62,76,74,NA,NA,71,NA,77,NA,42,73,NA,70,NA,74,NA,39,NA,NA,NA,36,NA,NA,78,76,NA,NA,70,35,NA,NA,75,68,NA,NA,NA,39,NA,NA,NA,74,70,75,69,83,19,NA,81,84,NA,NA,NA,100,67,80,74,NA,78,NA,NA,73,61,NA,NA,72,72,NA,37,NA,47,71,NA,NA,NA,NA,74,17,19,NA,38,NA,NA,NA,26,NA,36,NA,65,67,NA,60,NA,81,65,70,7,40,67,NA,NA,NA,NA,NA,NA,NA,64,63,NA,NA,NA,100,22,75,43
wg9uvhbh89,100,0,0,90,NA,100,NA,NA,NA,NA,100,0,NA,0,0,NA,NA,7,NA,NA,13,0,NA,NA,NA,100,NA,NA,0,0,NA,NA,49,100,NA,0,0,NA,NA,100,0,NA,NA,NA,0,NA,0,NA,NA,100,NA,100,NA,100,NA,100,NA,NA,NA,NA,NA,0,NA,100,NA,NA,100,50,0,NA,NA,0,100,0,0,100,83,100,0,100,NA,51,0,NA,50,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,100,100,NA,NA,NA,NA,100,100,NA,0,50,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,50,100,NA,0,100,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,92,13,0,0,NA,100,0,NA,0,NA,NA,100,100,100,NA,NA
0n8fa63rmh,NA,NA,NA,100,0,NA,NA,100,NA,NA,NA,NA,0,100,38,59,NA,NA,100,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,100,NA,NA,NA,36,0,100,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,58,0,NA,40,NA,NA,31,0,NA,NA,22,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,100,26,NA,NA,51,NA,NA,100,17,0,NA,0,NA,0,0,100,NA,0,NA,0,NA,0,NA,50,100,NA,NA,NA,0,NA,0,NA,18,2,100,NA,0,100,0,NA,NA,NA,30,0,41,100,NA,100,0,42,100,15,NA,100,47,NA,100,NA,NA,NA,0,42,0,23,1,NA,36,0,NA,NA,100,NA,0,0,30,67,0,NA,NA,100,NA,0,NA,100,0,NA,0,NA,39,18
jem8fbq7sb,67,34,29,66,40,NA,63,30,NA,73,64,15,NA,NA,NA,NA,6,65,71,NA,NA,NA,32,NA,NA,NA,NA,62,NA,23,NA,NA,65,60,83,23,NA,NA,11,NA,72,NA,NA,2,NA,77,NA,91,68,57,59,NA,6,79,NA,NA,21,NA,24,14,57,NA,27,NA,NA,NA,NA,NA,NA,41,34,NA,NA,50,NA,23,NA,35,27,77,17,34,NA,30,34,NA,NA,NA,NA,65,27,27,67,NA,65,25,NA,63,73,NA,75,NA,NA,13,8,19,NA,95,NA,NA,22,27,82,NA,NA,NA,NA,68,NA,NA,55,NA,61,NA,30,35,NA,NA,NA,NA,NA,NA,25,NA,21,NA,NA,NA,32,2,NA,30,NA,NA,NA,25,NA,NA,22,NA,19,NA,NA,NA,55,NA,23,56,62,NA,72,62
vy7036e9ns,26,63,NA,NA,NA,67,NA,NA,31,NA,84,NA,NA,29,NA,NA,NA,66,66,83,NA,NA,NA,NA,79,NA,66,41,39,NA,59,92,86,NA,NA,28,61,59,63,NA,68,NA,NA,25,NA,91,73,NA,67,53,NA,NA,39,76,78,31,NA,NA,32,NA,68,65,21,NA,19,87,72,NA,NA,NA,75,NA,NA,NA,NA,36,84,NA,NA,94,NA,60,19,98,NA,NA,NA,NA,24,25,NA,21,NA,NA,NA,34,NA,81,NA,NA,30,32,NA,32,NA,NA,68,NA,67,NA,NA,NA,NA,NA,NA,30,75,32,71,33,NA,79,NA,33,58,60,NA,34,NA,96,NA,38,NA,NA,NA,NA,NA,NA,58,61,26,NA,28,NA,30,18,NA,NA,NA,NA,26,30,22,31,NA,30,60,22,NA,NA,81,66
7sko04mhqj,65,8,81,NA,7,NA,62,25,NA,32,68,NA,NA,21,NA,NA,26,NA,NA,53,77,NA,NA,25,NA,NA,26,NA,NA,5,30,65,90,61,NA,88,18,NA,NA,74,61,10,51,27,20,NA,72,83,NA,34,NA,NA,NA,NA,65,90,39,21,22,NA,NA,NA,NA,NA,NA,NA,65,35,NA,29,NA,28,27,NA,NA,59,84,NA,41,86,14,NA,NA,NA,15,NA,57,80,62,84,26,0,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,25,NA,NA,79,73,NA,NA,28,NA,73,25,NA,NA,NA,76,77,29,65,NA,NA,NA,NA,NA,NA,66,86,74,NA,NA,NA,40,31,NA,87,NA,NA,64,NA,NA,26,61,NA,NA,82,74,21,32,26,NA,NA,6,NA,NA,23,81,NA,84,NA,NA
u1dapvprk0,0,46,0,100,0,NA,NA,100,0,NA,78,NA,NA,NA,NA,0,NA,NA,55,NA,NA,NA,NA,NA,58,100,NA,NA,NA,NA,0,100,100,56,NA,NA,NA,70,0,NA,NA,0,0,0,NA,NA,54,NA,100,NA,0,100,NA,84,NA,100,0,NA,0,0,100,NA,NA,NA,0,NA,100,50,NA,NA,NA,NA,NA,100,NA,53,NA,NA,NA,100,NA,50,0,45,100,NA,0,NA,NA,100,0,0,NA,NA,NA,62,52,100,100,NA,NA,NA,NA,0,NA,0,85,NA,NA,NA,0,0,NA,NA,NA,0,73,NA,NA,32,56,100,NA,50,NA,NA,NA,NA,NA,NA,50,NA,0,0,NA,NA,100,65,7,0,0,0,50,0,45,NA,100,NA,NA,NA,0,70,NA,0,NA,NA,3,NA,100,0,100,55
1vx03vd6zm,24,NA,13,NA,12,87,17,10,NA,85,77,21,NA,12,70,4,9,82,NA,92,20,5,NA,22,79,NA,NA,NA,NA,NA,78,NA,38,NA,NA,84,NA,NA,NA,NA,78,NA,4,5,NA,NA,8,5,84,NA,90,94,7,NA,82,NA,NA,NA,12,NA,NA,4,75,NA,NA,10,86,16,8,NA,8,NA,NA,85,NA,NA,5,82,9,87,NA,85,5,7,NA,NA,NA,85,73,78,NA,9,NA,NA,85,14,NA,4,NA,NA,NA,NA,82,84,NA,3,83,73,NA,NA,7,84,NA,86,NA,NA,NA,85,7,5,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,82,68,NA,7,2,NA,NA,NA,NA,NA,4,NA,NA,NA,5,10,86,81,90,5,NA,NA,NA,NA,8,7,NA,NA,NA,NA,NA,6
uw4fa73ccy,NA,NA,43,46,NA,81,60,54,57,NA,46,NA,NA,44,43,NA,NA,NA,NA,NA,56,39,60,57,42,57,55,45,NA,46,NA,NA,NA,NA,NA,44,43,58,NA,40,39,58,44,NA,45,NA,56,NA,42,NA,NA,NA,44,55,45,NA,32,43,NA,NA,NA,57,NA,40,NA,61,NA,59,NA,NA,NA,59,42,42,NA,NA,43,55,56,58,44,NA,NA,NA,NA,55,48,NA,58,NA,NA,40,46,24,36,NA,NA,NA,NA,NA,40,54,54,35,39,NA,61,NA,NA,44,59,NA,NA,67,NA,70,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,63,NA,NA,52,44,NA,40,NA,NA,57,57,NA,NA,NA,NA,NA,NA,NA,40,NA,53,56,54,43,NA,45,NA,43,48,43,31,57,NA,42,NA,NA
g0tecw873e,NA,NA,NA,100,NA,100,NA,100,NA,NA,NA,0,0,NA,NA,NA,40,NA,NA,74,NA,13,85,NA,64,NA,NA,0,0,NA,NA,NA,NA,NA,76,75,NA,NA,10,87,0,0,NA,0,NA,NA,89,100,NA,NA,NA,NA,0,NA,NA,100,NA,NA,0,0,NA,NA,0,89,NA,NA,NA,0,NA,0,NA,NA,100,NA,NA,100,NA,NA,0,100,NA,53,0,24,67,NA,NA,89,NA,NA,0,23,100,NA,NA,55,NA,NA,100,NA,100,4,96,NA,0,0,NA,88,0,100,NA,0,NA,24,72,NA,100,100,NA,NA,NA,NA,NA,NA,43,NA,NA,63,100,55,73,0,NA,NA,0,0,0,NA,0,NA,0,0,94,NA,NA,NA,69,68,0,NA,0,100,NA,NA,54,100,0,68,100,65,52,NA
a3ckuloczh,81,NA,NA,59,NA,69,NA,79,11,NA,28,70,NA,75,NA,NA,NA,NA,NA,54,80,81,53,79,82,67,51,52,NA,NA,NA,NA,76,NA,NA,NA,NA,19,NA,NA,5,NA,NA,NA,0,NA,100,66,100,100,0,100,NA,NA,100,NA,NA,0,0,NA,100,NA,NA,100,0,83,NA,100,100,0,NA,NA,NA,NA,NA,77,NA,NA,0,NA,NA,NA,0,20,NA,NA,100,80,56,NA,14,54,72,2,79,NA,NA,100,20,100,NA,0,74,0,9,NA,11,NA,0,NA,0,14,NA,21,NA,0,90,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,81,NA,NA,NA,50,NA,NA,NA,NA,100,49,NA,NA,0,NA,93,82,NA,8,100,NA,NA,0,0,21,NA,NA,0,100,NA,13,NA,88,NA,85
rjc175u3n6,NA,NA,13,NA,NA,NA,62,27,0,NA,56,45,38,NA,NA,31,52,NA,74,0,14,40,22,NA,NA,NA,NA,54,0,0,NA,NA,42,NA,NA,23,NA,58,32,54,27,NA,NA,NA,NA,NA,NA,60,NA,20,NA,NA,36,52,59,NA,34,25,NA,7,16,17,2,52,0,NA,NA,33,NA,NA,59,41,41,NA,0,NA,53,52,27,NA,12,NA,NA,NA,54,53,NA,NA,NA,NA,NA,NA,22,21,64,2,NA,NA,NA,64,61,10,52,NA,24,24,53,NA,NA,NA,NA,0,54,NA,NA,NA,NA,56,42,NA,54,NA,60,NA,0,NA,44,66,57,68,NA,NA,NA,NA,NA,44,45,NA,28,NA,NA,9,NA,NA,5,18,68,NA,NA,NA,43,42,NA,NA,52,33,50,NA,NA,NA,NA,NA
g9tmpsy984,100,0,NA,0,NA,NA,NA,100,NA,100,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,NA,0,NA,100,NA,NA,0,NA,NA,0,0,NA,100,0,0,100,NA,100,0,0,NA,0,NA,100,NA,100,NA,NA,NA,100,0,100,100,NA,NA,0,0,NA,NA,0,0,100,0,0,NA,NA,NA,NA,0,0,0,100,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,100,NA,100,0,NA,NA,NA,100,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,100,NA,NA,53,NA,NA,0,0,NA,0,NA,0,0,100,NA,100,100,100,0,0,0,0,NA,100,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,100,NA
fxkxf4d8ho,NA,63,NA,NA,45,NA,70,NA,NA,NA,NA,NA,NA,38,5,50,41,NA,75,64,NA,NA,19,35,NA,NA,11,NA,NA,29,40,59,81,73,65,NA,NA,NA,25,62,NA,NA,NA,11,20,NA,64,NA,64,NA,58,70,NA,73,68,NA,19,0,NA,0,NA,8,NA,NA,14,56,NA,31,23,NA,NA,10,NA,74,NA,NA,NA,55,26,NA,6,NA,NA,NA,NA,15,19,NA,NA,66,NA,6,63,NA,60,NA,43,56,65,79,NA,NA,NA,28,NA,NA,NA,62,13,NA,24,17,46,NA,33,NA,NA,57,66,NA,56,62,NA,NA,35,NA,57,NA,NA,NA,65,NA,NA,23,22,65,44,41,NA,11,NA,NA,NA,22,34,41,55,69,NA,NA,NA,72,57,11,NA,NA,NA,NA,NA,40,61,NA
cm4w0mvbke,0,NA,0,NA,0,NA,NA,NA,0,NA,100,NA,NA,0,NA,NA,0,100,99,0,NA,NA,0,0,100,100,0,NA,0,0,NA,0,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,0,12,0,NA,100,NA,NA,NA,NA,NA,NA,100,0,0,NA,0,0,100,NA,NA,NA,NA,0,NA,NA,0,NA,100,0,100,0,0,100,NA,100,0,NA,0,0,NA,NA,NA,NA,0,100,NA,78,0,NA,100,NA,NA,NA,84,NA,77,100,100,NA,0,0,0,NA,3,100,NA,0,NA,0,NA,NA,NA,NA,100,NA,0,NA,100,NA,0,NA,100,76,NA,NA,100,100,100,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,78,100,0,NA,NA,0,NA,0,100,0,0,NA,0,NA,0,NA,NA,0,0
dmuus7p322,33,1,NA,NA,NA,29,100,NA,NA,NA,NA,NA,0,63,NA,NA,3,NA,21,3,91,NA,NA,84,NA,NA,58,1,NA,NA,70,NA,NA,72,18,NA,NA,NA,NA,38,24,NA,25,3,NA,NA,NA,61,NA,NA,NA,81,20,78,NA,91,0,NA,NA,20,NA,60,4,NA,NA,NA,100,17,NA,NA,NA,NA,94,NA,NA,NA,NA,94,0,NA,0,65,NA,1,77,61,NA,NA,NA,72,NA,1,NA,NA,NA,0,NA,NA,99,100,NA,25,NA,NA,NA,NA,NA,61,0,93,0,0,13,NA,79,NA,NA,92,36,11,NA,NA,35,NA,NA,NA,21,15,61,70,9,NA,NA,NA,38,NA,38,64,NA,0,0,NA,NA,NA,0,0,84,94,0,56,58,30,95,0,0,NA,0,28,92,95,NA,NA
jwfx6myggg,84,NA,0,NA,NA,60,80,44,0,NA,63,NA,NA,NA,24,1,59,NA,NA,87,NA,8,NA,4,84,NA,NA,NA,0,NA,NA,82,NA,NA,NA,75,NA,NA,NA,NA,55,NA,NA,1,NA,NA,NA,87,79,NA,47,NA,NA,NA,100,100,0,NA,NA,1,91,0,NA,79,17,81,NA,NA,0,48,82,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,57,0,39,NA,18,0,96,NA,NA,NA,NA,75,NA,NA,6,NA,57,45,100,91,0,16,0,0,17,100,89,NA,83,NA,0,NA,92,NA,NA,NA,100,95,48,NA,NA,91,0,58,44,60,31,NA,NA,59,NA,NA,56,NA,NA,100,NA,NA,NA,0,0,94,3,NA,11,39,NA,NA,0,NA,93,NA,6,NA,85,NA,NA,NA,NA,90,98
m3ytvozcb2,NA,NA,NA,36,15,15,NA,80,NA,NA,NA,74,NA,82,NA,68,NA,NA,NA,25,NA,71,83,22,NA,84,62,NA,NA,NA,NA,42,81,NA,81,NA,NA,87,NA,NA,13,29,84,NA,NA,NA,73,78,32,NA,NA,NA,25,NA,NA,NA,NA,20,NA,NA,75,NA,76,76,NA,NA,84,NA,22,12,NA,NA,66,18,NA,NA,NA,66,NA,NA,22,NA,NA,15,53,19,NA,77,81,NA,24,14,NA,9,86,67,NA,NA,11,83,1,NA,52,18,29,NA,NA,NA,31,NA,23,15,82,30,82,25,70,NA,NA,NA,NA,NA,NA,71,NA,16,51,NA,NA,88,85,78,NA,69,23,21,81,65,NA,NA,79,NA,NA,NA,NA,NA,12,NA,63,14,25,20,NA,NA,NA,83,NA,NA,71,69,78,27
f853jv7s55,NA,55,NA,88,NA,75,55,44,NA,NA,NA,NA,NA,56,NA,NA,66,56,40,NA,NA,31,61,55,NA,NA,NA,NA,52,9,26,NA,NA,NA,50,NA,56,NA,NA,NA,66,0,36,NA,NA,NA,NA,33,NA,NA,72,NA,32,NA,NA,36,NA,NA,NA,61,NA,65,62,NA,NA,NA,NA,NA,NA,29,33,70,33,34,NA,61,NA,NA,NA,43,21,46,NA,NA,57,48,NA,50,NA,75,NA,41,62,53,NA,42,NA,NA,47,NA,42,63,NA,66,NA,50,NA,79,50,86,NA,NA,81,NA,60,NA,NA,50,NA,NA,NA,NA,66,52,NA,31,NA,NA,42,NA,33,46,55,76,37,65,NA,41,NA,NA,NA,NA,55,NA,NA,NA,47,70,60,40,65,72,NA,14,59,63,57,29,71,NA,38,41
yg44s4amg6,90,66,NA,100,7,NA,38,NA,NA,67,NA,20,58,NA,NA,66,NA,NA,69,83,NA,NA,NA,50,100,64,NA,NA,0,19,NA,NA,NA,NA,77,NA,50,NA,50,47,NA,NA,18,14,NA,NA,58,NA,80,78,66,68,NA,79,NA,76,NA,NA,63,8,78,NA,49,85,NA,NA,NA,NA,55,9,84,9,NA,53,NA,83,NA,82,NA,NA,NA,6,8,NA,88,NA,NA,NA,NA,NA,86,14,87,NA,NA,14,68,9,100,100,NA,NA,NA,NA,67,21,NA,93,60,79,NA,NA,NA,NA,100,5,NA,NA,NA,70,71,79,NA,79,NA,65,NA,NA,NA,NA,NA,16,NA,64,0,NA,61,74,NA,12,NA,16,NA,25,NA,88,72,NA,68,NA,32,NA,78,NA,64,75,NA,NA,86,NA,83,NA
dmjkd6gto8,NA,NA,NA,NA,50,NA,64,NA,0,NA,NA,0,NA,NA,20,100,0,82,NA,NA,NA,0,15,NA,NA,NA,NA,NA,8,0,NA,50,NA,NA,100,NA,NA,31,26,50,NA,11,NA,NA,0,NA,NA,NA,NA,NA,64,NA,10,100,NA,89,NA,37,NA,12,50,0,NA,89,NA,73,90,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,18,100,0,NA,NA,5,NA,5,50,NA,NA,NA,NA,NA,NA,0,NA,NA,26,94,100,NA,100,NA,0,20,0,14,NA,NA,0,81,NA,12,83,62,68,NA,NA,79,75,NA,50,100,22,NA,0,24,50,76,72,NA,50,0,50,49,NA,100,NA,51,0,NA,NA,55,50,NA,NA,NA,100,NA,7,NA,NA,57,92,NA,NA,89,0,NA,76,85,66,NA
