"Participant","Sample","Experiment_Duration","Date","Time","Browser","Mobile","Platform","Screen_Width","Screen_Height","Gender","Education","Age","Ethnicity","COVID_Vaccination","FakeNews_SubjectiveDiscrimination","BFI10_1","BFI10_2","BFI10_3","BFI10_4","BFI10_5","BFI10_6","BFI10_7","BFI10_8","BFI10_9","BFI10_10","ANES_Duration","Political_Ideology","Political_Affiliation","GCBS15_13","GCBS15_10","GCBS15_15","GCBS15_12","GCBS15_14","GCBS15_11","Intervention_Questions_Confidence","Intervention","Intervention_Duration","Intervention_Questions_Score","Intervention_Questions_Duration","Intervention_Questions_Favorite","Intervention_Questions_Repeat","Intervention_Questions_Recommend","Political_IdeologyNumeric","VSA_Conservatism","VSA_Traditionalism","VSA_Authoritarianism","VSA_General","BFI_Agreeableness","BFI_Extraversion","BFI_Conscientiousness","BFI_Neuroticism","BFI_Openness","GCBS_GovernmentMalfeasance","GCBS_Extraterrestrial","GCBS_Malevolent","GCBS_Wellbeing","GCBS_Control","GCBS_General"
"S057","USA",36.88375,"18/10/2024","04:36:24","chrome","false","Windows 10",872,1145,"Man","High School",58,"Caucasian","No","unlikely",3,4,0,4,1,3,0,4,0,3,0.168716666666667,"Extremely Conservative","Republican",0,0,1,1,1,1,"No impact","BadNewsGame",21.96085,"16691",0.7935,"British vernacular","No","No",7,8,8,8,8,5,3,5,1,4,1.33333333333333,0,2.33333333333333,1.33333333333333,0.666666666666667,1.13333333333333
"S059","USA",32.7524666666667,"18/10/2024","05:58:21","firefox","false","Windows 10",1920,899,"Man","High School",22,"caucasian","Unsure/Refuse to answer","likely",4,4,3,3,1,0,2,3,3,3,0.749883333333333,"Moderate","None or Independent",3,3,3,1,1,3,"Unsure/refuse to answer","BadNewsGame",12.00175,"13,896",0.9817,"how realistic it actually is to how disasterous twitter is; decent satire","no","no",4,3,1.5,4.5,3,4,1,3,3,4,3.33333333333333,2,1.33333333333333,1,3,2.13333333333333
"S060","USA",66.52955,"04/11/2024","14:33:09","chrome","false","Windows 10",1536,730,"Man","Bachelor",25,"Black","Yes","likely",0,4,0,4,4,4,0,4,0,4,0.448016666666667,"Conservative","Republican",0,1,3,2,1,1,"No impact","Tetris",12.4299,"5000",1.11271666666667,"Game lay out","yes","yes",6,6,8,6,6.66666666666667,5,5,5,1,3,1.33333333333333,0,2.66666666666667,0.666666666666667,1.33333333333333,1.2
"S062","USA",29.3260166666667,"18/10/2024","06:28:57","chrome","false","Chrome OS",1366,647,"Woman","Bachelor",66,"Caucasian","Yes","likely",4,3,2,1,1,2,2,3,4,4,0.17165,"Liberal","Democrat",0,1,0,0,0,1,"No impact","Tetris",14.39975,"29000",0.398533333333333,"speed","yes","yes",2,2,0.5,0.5,1,3.5,2,3.5,4.5,4.5,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.2
"S063","USA",28.9442833333333,"18/10/2024","06:59:01","chrome","false","Windows 10",1920,953,"Woman","High School",63,"white","Yes","likely",4,4,0,3,0,3,0,3,2,2,0.103866666666667,"Moderate","Republican",0,0,0,0,0,0,"Unsure/refuse to answer","BadNewsGame",13.4052833333333,"8820",0.6973,"playing with the tweets","yes","yes",4,6,0,6,4,5,2.5,4.5,2.5,4,0,0,0,0,0,0
"S064","USA",55.85325,"18/10/2024","06:06:43","chrome","false","Chrome OS",1920,993,"Man","High School",55,"Biracial Afro Caribbean American / White European American","Yes","likely",3,0,1,3,0,1,3,4,1,4,0.186766666666667,"Liberal","Democrat",0,3,4,2,1,1,"No impact","Tetris",15.44175,"955",2.18081666666667,"The random manipulation of the blocks as they fell into symmetry","Yes","Maybe",2,2.5,1,4,2.5,1.5,2,4.5,2,5,0.666666666666667,0.333333333333333,0.666666666666667,1,3,1.13333333333333
"S065","USA",72.0807166666667,"18/10/2024","04:37:25","chrome","false","Windows 10",1280,585,"Man","Master",62,"white","Yes","likely",3,3,0,4,1,3,0,3,0,4,0.3225,"Conservative","Republican",1,3,3,1,3,3,"Improved","BadNewsGame",25.1780666666667,"10,081",0.89635,"funny prompts","yes","yes",6,4.5,5.5,7,5.66666666666667,4.5,3,4.5,1,4.5,1.66666666666667,1.66666666666667,1.66666666666667,3,3,2.2
"S068","USA",80.9146333333333,"18/10/2024","06:52:18","chrome","false","Windows 10",958,944,"Man","Bachelor",54,"White","No","likely",0,0,0,3,0,4,1,4,0,3,0.141483333333333,"Extremely Liberal","Democrat",1,4,1,1,1,0,"No impact","Tetris",22.7773166666667,"485",1.71923333333333,"Colorful boxes.","yes","yes",1,6.5,0.5,7,4.66666666666667,2.5,5,5,1.5,4.5,0,1,0.666666666666667,0.666666666666667,1.66666666666667,0.8
"S069","USA",36.8483,"18/10/2024","07:05:24","chrome","false","Windows 10",1168,568,"Woman","High School",55,"Caucasian","No","likely",4,4,0,3,1,0,3,4,1,1,0.221766666666667,"Slightly Conservative","Republican",3,4,4,4,4,3,"Improved","Tetris",18.2889666666667,"1945",0.477666666666667,"The challenge","Yes","Yes",5,3.5,1,0.5,1.66666666666667,3.5,1,5,2,3,3,3.33333333333333,4,3.66666666666667,4,3.6
"S071","USA",28.8624833333333,"18/10/2024","07:05:05","chrome","false","Windows 10",1920,959,"Man","High School",50,"Caucasian","Yes","unlikely",1,3,0,3,0,2,1,4,1,4,0.123633333333333,"Moderate","None or Independent",0,0,0,0,0,0,"No impact","BadNewsGame",14.3647166666667,"Around 4500 I think, but it gives a score at the end of the game, why not use that? My score was 15.543",2.1066,"I have to pick ONE??? This was SO entertaining and really well done. The writing overall was outstanding, so I'll go with that.","Yes!","Yes",4,2,0.5,2,1.5,4,3.5,5,2,5,0,0,0,0,0,0
"S072","USA",28.7980833333333,"22/10/2024","07:21:31","chrome","false","Windows 10",1920,919,"Woman","High School",56,"WHITE","Yes","Unsure/Refuse to answer",2,3,1,0,0,2,0,3,4,4,0.276583333333333,"Liberal","Democrat",0,0,1,1,1,1,"No impact","Tetris",12.07095,"6935",0.616483333333333,"IT WAS ADDICTING TRYING TO BET MY LAST SCORE","YES","YES",2,2,0,0,0.666666666666667,4.5,3,4,5,5,0.666666666666667,0,1.33333333333333,0.333333333333333,0.333333333333333,0.533333333333333
"S075","USA",61.8428333333333,"18/10/2024","13:24:39","chrome","false","Windows 10",1366,641,"Man","Bachelor",59,"black","Unsure/Refuse to answer","Unsure/Refuse to answer",3,2,2,3,2,1,2,3,1,3,2.79575,"Moderate","None or Independent",0,3,2,2,3,3,"No impact","Tetris",22.61205,"1053",2.85643333333333,"sometimes the piece you are trying to move ends up where you did not plan for it to","no","maybe",4,2.5,3,2.5,2.66666666666667,3,2,3.5,2,3.5,2.33333333333333,0,2,2,2.66666666666667,1.8
"S076","USA",40.3674166666667,"01/10/2024","07:59:16","firefox","false","Windows 10",1920,955,"Woman","Bachelor",29,"Caucasian","Yes","likely",3,1,3,1,0,1,4,4,4,3,0.279666666666667,"Extremely Liberal","Democrat",0,3,4,1,1,2,"No impact","Tetris",17.1941333333333,"15903",1.0633,"Getting a straight-line block so I can finally clear some lines.","yes","yes",1,1,0.5,2.5,1.33333333333333,1.5,2,3.5,4.5,4.5,2,0,0.666666666666667,0.333333333333333,2.33333333333333,1.06666666666667
"S078","USA",47.1901166666667,"18/10/2024","09:38:57","chrome","false","Windows 10",1536,737,"Woman","Bachelor",67,"First Nations","Yes","likely",3,1,1,3,0,1,2,4,2,4,0.52085,"Slightly Conservative","Republican",1,0,1,2,3,1,"Improved","BadNewsGame",15.7342166666667,"85",0.437583333333333,"identifying","maybe","maybe",5,4,5.5,5.5,5,2.5,2,4.5,2.5,5,1,0.666666666666667,1.66666666666667,2,0.666666666666667,1.2
"S079","USA",34.2687666666667,"18/10/2024","06:01:09","chrome","false","Windows 10",1304,647,"Woman","Other",53,"Caucasian","Yes","Unsure/Refuse to answer",3,1,0,4,2,0,1,4,0,4,0.289433333333333,"Moderate","Republican",0,0,0,0,0,0,"No impact","Tetris",17.88375,"101482",0.650783333333333,"fitting the shapes neatly into patterns","yes","yes",4,2,0,1,1,3,1.5,5,1,4,0,0,0,0,0,0
"S081","USA",37.75675,"18/10/2024","10:44:27","chrome","false","Windows 10",1920,953,"Man","High School",24,"Caucasian","Yes","unlikely",4,3,1,4,0,0,2,3,1,4,0.17455,"Liberal","Democrat",0,1,0,0,0,0,"No impact","Tetris",19.1116666666667,"34000",0.4706,"The problem solving required. ","Yes","Yes",2,2.5,0,1.5,1.33333333333333,3.5,1,4,1.5,5,0,0,0,0,0.333333333333333,0.0666666666666667
"S082","USA",32.3962,"18/10/2024","05:30:30","chrome","false","Mac OS",1280,678,"Woman","High School",65,"Black","Yes","unlikely",3,3,0,4,0,4,2,4,0,4,0.368833333333333,"Moderate","Democrat",1,1,3,3,3,1,"No impact","Tetris",16.8252666666667,"514",0.318483333333333,"the colors","nah","sure",4,4,4,2.5,3.5,3.5,3.5,5,1,5,1.66666666666667,2.33333333333333,2.33333333333333,2.33333333333333,1.66666666666667,2.06666666666667
"S083","USA",49.5526,"28/08/2024","18:08:16","chrome","false","Windows 10",1920,911,"Woman","High School",23,"Latina","Yes","unlikely",3,2,2,3,0,1,2,3,3,4,0.0633333333333333,"Extremely Liberal","Democrat",1,4,3,1,2,2,"Improved","BadNewsGame",15.1579,"17,410",0.650566666666667,"the malicious humor","yes","sure",1,0,0,2,0.666666666666667,3,2,3.5,3,5,2.33333333333333,1,1,0.666666666666667,2.66666666666667,1.53333333333333
"S085","USA",69.4023166666667,"18/10/2024","09:02:04","chrome","false","Windows 10",1366,641,"Man","High School",58,"Southeast Asian-Filipino","Yes","Unsure/Refuse to answer",1,3,0,3,2,3,0,4,0,3,1.67898333333333,"Liberal","Democrat",1,1,2,1,2,2,"Improved","BadNewsGame",29.4127333333333,"5",0.642433333333333,"reactions","yes","yes",2,7.5,4.5,6.5,6.16666666666667,4.5,4,5,1.5,3.5,1,1,0.666666666666667,1,1,0.933333333333333
"S086","USA",40.89675,"18/10/2024","03:54:02","chrome","false","Windows 10",1280,632,"Woman","Bachelor",NA,"Asian","Yes","likely",3,4,0,1,3,3,1,4,3,4,1.38413333333333,"Conservative","Republican",1,1,4,4,3,3,"Greatly improved","BadNewsGame",20.24215,"15.456",1.51078333333333,"Fake prompt","yes","yes",6,4.5,7.5,7,6.33333333333333,4.5,3,5,4,3.5,1.66666666666667,1.66666666666667,3.33333333333333,2.66666666666667,3,2.46666666666667
"S088","USA",32.0510166666667,"18/10/2024","10:36:50","chrome","false","Windows 10",1366,633,"Man","Bachelor",64,"Hispanic","Yes","likely",3,4,0,4,0,4,1,4,0,4,0.16965,"Slightly Liberal","None or Independent",3,1,1,1,0,3,"No impact","Tetris",13.0739,"1700",0.6295,"The overall strategy of early vs late.","No","Sure",3,2.5,1,3.5,2.33333333333333,4.5,3.5,5,1,5,1.33333333333333,2,1,0.333333333333333,1,1.13333333333333
"S090","USA",59.6883833333333,"18/10/2024","07:42:04","chrome","false","Chrome OS",1366,599,"Man","High School",52,"asian","Yes","unlikely",3,3,0,3,1,2,0,2,3,3,2.92231666666667,"Slightly Liberal","Democrat",3,4,4,3,3,3,"Slightly improved","BadNewsGame",24.1317333333333,"10000",0.554966666666667,"the conversation felt real","no","no",3,4,3,3.5,3.5,4.5,2.5,4,3,4,2.66666666666667,3,3.66666666666667,2.33333333333333,3.33333333333333,3
"S092","USA",33.3508,"18/10/2024","06:38:25","chrome","false","Windows 10",1366,660,"Man","Bachelor",30,"white","No","Unsure/Refuse to answer",2,4,0,4,0,2,0,4,2,4,0.118033333333333,"Moderate","None or Independent",2,3,3,3,3,4,"No impact","BadNewsGame",16.4650333333333,"6000",0.6177,"It was funny. Some of the things I was instructed to do were hilarious.","maybe","maybe",4,4,2,2,2.66666666666667,5,3,5,2,5,3,2.66666666666667,3,3,3,2.93333333333333
"S093","USA",33.8245333333333,"18/10/2024","07:18:35","edge-chromium","false","Windows 10",1912,954,"Woman","High School",64,"white","Yes","likely",0,3,1,2,4,3,0,4,0,0,0.1152,"Extremely Conservative","Republican",1,1,3,1,3,1,"Slightly improved","BadNewsGame",15.69625,"15,000",0.540966666666667,"mems","no","yes",7,8,8,4.5,6.83333333333333,4.5,4.5,4.5,2,1,0.666666666666667,0.666666666666667,1,2.33333333333333,2.33333333333333,1.4
"S094","USA",30.3360166666667,"22/10/2024","11:02:07","firefox","false","Mac OS",1667,931,"Woman","Doctorate",37,"white","Yes","likely",1,3,1,2,1,3,2,3,1,3,0.1362,"Slightly Liberal","None or Independent",1,3,3,0,1,1,"No impact","Tetris",14.6977333333333,"40,210",0.611933333333333,"how the shapes fit together","yes","maybe",3,2.5,0,1.5,1.33333333333333,3.5,4,4,2.5,4,1,1.33333333333333,0,0.666666666666667,2.66666666666667,1.13333333333333
"S095","USA",46.3696833333333,"22/10/2024","13:00:09","ios","true","iOS",980,1683,"Man","Doctorate",33,"Caucasian ","Yes","likely",3,3,1,3,2,2,2,4,3,2,0.212916666666667,"Slightly Liberal","Democrat",0,1,2,0,1,0,"No impact","Tetris",17.28325,"32,109",0.724166666666667,"The pressure as the speed increases","Yes","Yes",3,3,1,4.5,2.83333333333333,3.5,2.5,4.5,3,3,0,1,0,0.333333333333333,1,0.466666666666667
"S096","USA",32.4196,"28/08/2024","16:49:08","chrome","false","Windows 10",1536,872,"Woman","High School",33,"caucasian","Yes","unlikely",3,4,1,0,0,1,1,4,4,4,0.1111,"Moderate","None or Independent",0,3,3,0,1,0,"Slightly declined","Tetris",15.5988,"10,385",0.914916666666667,"the challange","no for some reason i have never been good at tetris ","for people who like puzzle games like it sure",4,3,0,2.5,1.83333333333333,4.5,2,4.5,5,5,0.333333333333333,0.666666666666667,0,0.333333333333333,2.33333333333333,0.733333333333333
"S098","USA",32.4953833333333,"18/10/2024","07:40:04","chrome","false","Windows 10",1280,593,"Woman","Bachelor",65,"Caucasian","Yes","likely",1,4,0,3,0,4,1,4,1,3,0.190266666666667,"Slightly Conservative","None or Independent",0,3,4,3,4,4,"Slightly improved","BadNewsGame",15.91115,"12000",0.5015,"the prompts were hiralious","no","no",5,2.5,0,7,3.16666666666667,4.5,4.5,5,2,4.5,2.66666666666667,0,2,3.66666666666667,3.33333333333333,2.33333333333333
"S100","USA",43.8346166666667,"18/10/2024","08:36:36","edge-chromium","false","Windows 10",1630,989,"Woman","Bachelor",48,"black","No","unlikely",3,3,3,4,0,1,4,3,4,4,0.190016666666667,"Slightly Conservative","None or Independent",1,3,3,1,3,1,"No impact","BadNewsGame",25.2251333333333,"4947",0.5335,"picking your doom","yes","yes",5,6.5,0,8,4.83333333333333,2.5,2,3,3,5,2.33333333333333,1.33333333333333,1.66666666666667,1.66666666666667,2.66666666666667,1.93333333333333
"S101","USA",27.2050166666667,"18/10/2024","10:26:10","chrome","false","Windows 10",2560,1305,"Woman","Bachelor",28,"caucasian","Yes","unlikely",0,1,4,1,1,4,4,2,4,3,0.1124,"Liberal","Democrat",0,1,3,1,0,0,"No impact","Tetris",16.0435166666667,"46905",0.32775,"things got harder as you went on","yes","yes",2,1.5,0,4,1.83333333333333,1.5,5,2,4.5,4,0,0,1,0,1.33333333333333,0.466666666666667
"S102","USA",41.5404666666667,"18/10/2024","03:42:44","chrome","true","Android OS",980,1899,"Man","High School",34,"black","Yes","likely",4,4,0,4,4,4,0,4,0,2,0.0933,"Extremely Conservative","Republican",2,1,2,1,2,1,"Greatly improved","BadNewsGame",20.9803166666667,"14,000",1.03003333333333,"trolling","yes","Yes so they can the learn the dangers of fake misleading posts online and the effects it has in real life.",7,8,4,4,5.33333333333333,5,3,5,1,2,1,0.666666666666667,2,0.666666666666667,1.33333333333333,1.13333333333333
"S103","USA",28.4105333333333,"18/10/2024","04:20:57","chrome","false","Windows 10",1920,919,"Man","High School",19,"Asian","Yes","unlikely",3,4,4,2,1,3,4,3,1,4,0.1103,"Slightly Liberal","Democrat",0,2,4,1,1,4,"No impact","Tetris",16.22195,"143472",0.78875,"The strategic aspect of where to place pieces having a hold slot and knowing the three upcoming pieces.","yes","yes",3,3,1,5.5,3.16666666666667,3,3,2.5,2.5,4.5,2.66666666666667,0.333333333333333,1.33333333333333,0.333333333333333,2,1.33333333333333
"S104","USA",23.3079333333333,"18/10/2024","04:41:34","safari","false","Mac OS",1198,772,"Man","Doctorate",68,"White","Yes","likely",3,3,0,4,0,3,0,4,0,4,0.12075,"Liberal","Democrat",0,1,0,0,0,0,"Slightly improved","BadNewsGame",12.9286,"2000",0.367766666666667,"funny prompts","no","yes",2,1.5,0,1.5,1,4.5,3,5,1,5,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.2
"S105","USA",49.4540833333333,"18/10/2024","06:00:33","chrome","false","Windows 10",1123,469,"Woman","Bachelor",74,"Caucasian","Yes","very likely",4,1,1,3,0,1,0,4,1,4,0.245516666666667,"Extremely Liberal","Democrat",1,3,3,1,3,1,"Unsure/refuse to answer","Tetris",26.3920166666667,"150000",0.472866666666667,"music","no","no",1,3,0,4,2.33333333333333,3.5,1.5,4.5,2,5,1,1.66666666666667,1.66666666666667,1.66666666666667,2.33333333333333,1.66666666666667
"S106","USA",34.7788166666667,"18/10/2024","06:47:20","chrome","false","Windows 10",1920,925,"Non-Binary","Other",30,"native american","Yes","likely",4,3,4,0,4,0,4,0,4,0,0.21485,"Moderate","None or Independent",1,3,4,3,3,4,"Slightly declined","Tetris",18.4238833333333,"21,183",0.452716666666667,"color","no","no",4,5,3.5,5,4.5,2.5,1,1,5,1,3.66666666666667,1,3,2.66666666666667,3.66666666666667,2.8
"S107","USA",60.89735,"18/10/2024","07:54:09","chrome","false","Windows 10",1601,781,"Woman","High School",63,"Black American","No","unlikely",3,4,0,4,3,3,1,4,0,4,0.229016666666667,"Conservative","None or Independent",2,3,3,3,3,3,"Slightly improved","BadNewsGame",32.7474,"14000",1.23471666666667,"learning the different prompts","yes","yes",6,2.5,5,4,3.83333333333333,4.5,3,5,1,3.5,3,2.33333333333333,3,3,3,2.86666666666667
"S113","USA",41.51755,"18/10/2024","06:10:59","chrome","false","Windows 10",1280,585,"Man","Other",26,"Mixed","No","unlikely",3,2,0,4,1,3,1,4,0,3,0.209566666666667,"Moderate","None or Independent",1,2,4,2,2,2,"Improved","BadNewsGame",15.4859,"17388",0.562516666666667,"Trolling","yes","yes",4,4.5,4.5,5.5,4.83333333333333,3.5,3,5,1,4,2,1,2,1.66666666666667,2.66666666666667,1.86666666666667
"S114","USA",34.1600833333333,"04/11/2024","08:22:01","chrome","false","Windows 10",1536,730,"Woman","Bachelor",58,"Caucasian","Yes","unlikely",4,1,1,2,1,2,3,4,3,4,0.184,"Liberal","Democrat",0,0,2,1,0,0,"Slightly improved","BadNewsGame",17.4341,"5424",0.528766666666667,"i don't know","no","no",2,1,0,0,0.333333333333333,2,2,4.5,3.5,4.5,0,1.33333333333333,1,0,0.666666666666667,0.6
"S117","USA",49.6711333333333,"18/10/2024","08:03:06","chrome","false","Windows 10",1536,730,"Man","Bachelor",23,"Black American","Yes","very likely",4,4,0,4,4,4,0,4,0,4,0.264533333333333,"Extremely Liberal","Democrat",3,3,4,3,0,2,"Greatly improved","BadNewsGame",13.11455,"470",0.5223,"Trolling","Yes","Yes",1,8,0,7,5,5,3,5,1,3,0.666666666666667,2,3,1,3,1.93333333333333
"S118","USA",41.3671,"18/10/2024","07:45:36","chrome","false","Windows 10",1536,730,"Woman","Bachelor",52,"Asian","Yes","likely",3,1,3,2,3,2,2,3,3,3,0.231166666666667,"Moderate","None or Independent",1,3,3,3,2,2,"No impact","Tetris",17.0774,"11474",0.482183333333333,"Fun and mentally challenging","Yes","Yes",4,4.5,4.5,4.5,4.5,2.5,2.5,3,3.5,3,2,1.33333333333333,2.33333333333333,2.66666666666667,2.33333333333333,2.13333333333333
"S119","USA",36.0187,"18/10/2024","07:02:10","chrome","false","Windows 10",1231,562,"Woman","High School",50,"white","Yes","likely",0,3,4,1,3,4,3,1,1,3,0.21695,"Extremely Liberal","Democrat",0,1,3,0,1,1,"Slightly improved","Tetris",22.2232333333333,"38000",0.709,"remembering that I used to be pretty good at tetris and I still feel pretty confident about it","probably","yes - it's more like reminding though lol",1,0,0,0.5,0.166666666666667,3,5,1.5,3,3,1.33333333333333,0.333333333333333,0.333333333333333,0.666666666666667,1.66666666666667,0.866666666666667
"S120","USA",37.0905833333333,"18/10/2024","04:49:46","chrome","false","Windows 10",1188,504,"Man","Bachelor",58,"Asian","Yes","likely",2,3,0,3,1,3,0,3,1,2,0.148166666666667,"Liberal","Democrat",0,0,1,1,0,0,"Improved","Tetris",15.9453166666667,"2300",1.14966666666667,"the score improved","yes","yes",2,3.5,4,6,4.5,4.5,3.5,4.5,2,3.5,0,0.333333333333333,0.333333333333333,1,0.333333333333333,0.4
"S121","USA",43.6230166666667,"18/10/2024","07:48:36","chrome","false","Windows 10",1366,633,"Woman","High School",57,"Biracial","No","very unlikely",0,3,0,2,0,4,0,4,1,0,0.17755,"Conservative","None or Independent",3,4,4,4,4,4,"Slightly improved","BadNewsGame",24.0875666666667,"5000",0.840816666666667,"The way t it leads you on","No","No",6,4,6.5,7,5.83333333333333,4.5,5,5,2.5,3,4,2.33333333333333,4,3.66666666666667,4,3.6
"S122","USA",40.8783,"18/10/2024","07:19:43","chrome","false","Windows 10",1366,607,"Woman","Bachelor",56,"Caucasian","Yes","likely",4,1,2,1,0,0,0,4,3,4,0.2003,"Liberal","Democrat",0,0,1,0,0,0,"No impact","BadNewsGame",17.1514333333333,"15000",0.51355,"Sort of sardonic","No","No",2,1.5,0,2.5,1.33333333333333,3.5,1,4,4,5,0,0.666666666666667,0,0,0.333333333333333,0.2
"S123","USA",92.0304,"18/10/2024","06:18:57","chrome","false","Windows 10",1536,730,"Woman","Bachelor",33,"Hispanic","Yes","very likely",1,3,0,1,3,3,1,3,3,4,0.58425,"Slightly Liberal","None or Independent",4,4,3,3,3,3,"Greatly improved","BadNewsGame",24.4038333333333,"4348",1.19273333333333,"Building followers by manipulating and attacking critiques","Yes","Yes",3,2.5,2,1,1.83333333333333,4,4,4.5,4,3.5,1.66666666666667,4,3.66666666666667,1.66666666666667,2.33333333333333,2.66666666666667
"S124","USA",57.9127166666667,"22/10/2024","13:07:41","chrome","false","Windows 10",1366,607,"Man","Master",36,"Asian","Yes","likely",3,4,2,3,3,3,3,2,3,3,0.3146,"Slightly Liberal","None or Independent",2,2,3,2,3,2,"No impact","BadNewsGame",44.4705,"9753",0.453766666666667,"memes","yes","yes",3,4,4.5,4,4.16666666666667,3.5,3,3,3,3,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.66666666666667,2.4
"S125","USA",37.0078,"18/10/2024","06:31:44","ios","true","iOS",980,1665,"Man","Master",34,"Caucasian","Yes","likely",3,4,1,4,2,2,1,4,1,4,0.158266666666667,"Moderate","Republican",3,1,3,2,0,1,"Slightly improved","BadNewsGame",15.4739166666667,"12000",0.915433333333333,"The headlines and interactions were amusing.","No","No",4,6.5,6.5,7,6.66666666666667,4.5,2.5,4.5,1.5,4,0.333333333333333,1,1,0,2,0.866666666666667
"S128","USA",34.1679166666667,"18/10/2024","10:40:34","chrome","false","Windows 10",1366,599,"Man","High School",22,"Caucasian","Yes","unlikely",4,3,0,2,1,1,1,4,1,1,0.303333333333333,"Moderate","None or Independent",0,2,3,1,3,1,"No impact","Tetris",14.1823333333333,"100,743",1.46331666666667,"The satisfaction of using the 4x1 block to clear rows that were stacked up.","Yes","Yes",4,3.5,1,2.5,2.33333333333333,4,1.5,5,2.5,3,0.333333333333333,0,0.666666666666667,1.66666666666667,2,0.933333333333333
"S130","USA",54.49835,"18/10/2024","06:17:44","edge-chromium","false","Windows 10",1059,515,"Man","Bachelor",83,"white","No","Unsure/Refuse to answer",1,3,0,4,1,1,0,4,1,4,0.610216666666667,"Slightly Liberal","None or Independent",3,3,4,1,3,3,"No impact","Tetris",23.5195333333333,"41,290",0.72455,"ther colorfulness","yes","yes",3,3,1.5,1.5,2,4.5,3,5,1.5,4.5,2.66666666666667,2.66666666666667,2,2.66666666666667,3.33333333333333,2.66666666666667
"S131","USA",35.77375,"18/10/2024","04:01:31","chrome","false","Windows 10",1920,957,"Man","High School",26,"African American","Yes","likely",3,3,4,3,2,1,2,0,3,4,0.07885,"Liberal","None or Independent",3,3,4,0,2,3,"No impact","Tetris",12.1554333333333,"26320",0.57765,"nothing, the controls were terrible","no","no",2,0.5,0,1,0.5,3.5,2,1,3,4,3.33333333333333,2.33333333333333,0,0.666666666666667,2.33333333333333,1.73333333333333
"S134","USA",68.2519666666667,"18/10/2024","06:44:40","safari","false","Mac OS",980,1424,"Woman","High School",39,"White","No","unlikely",2,0,0,4,0,3,3,4,1,3,0.609983333333333,"Moderate","None or Independent",3,2,1,2,2,1,"No impact","Tetris",16.8101666666667,"12924",0.737516666666667,"The nostalgia ","Yes","Yes",4,2.5,1,4,2.5,1.5,3.5,5,1.5,4.5,1,2.33333333333333,1.66666666666667,1.66666666666667,2,1.73333333333333
"S136","USA",43.21295,"18/10/2024","09:01:23","chrome","false","Windows 10",1350,548,"Man","Master",35,"Caucasian ","Yes","unlikely",3,3,0,4,4,3,3,3,2,3,0.201716666666667,"Slightly Conservative","Republican",1,2,3,0,1,3,"No impact","Tetris",18.5362833333333,"4498",0.373983333333333,"when a row clears","no","no",5,4,3.5,4.5,4,3,3,4.5,2,2.5,2.66666666666667,1.33333333333333,0,0.333333333333333,2,1.26666666666667
"S139","USA",49.1458333333333,"18/10/2024","07:02:34","chrome","false","Windows 10",1366,599,"Woman","Bachelor",58,"Caucasian","Yes","likely",1,4,1,0,1,3,3,4,4,4,0.199283333333333,"Slightly Conservative","Republican",2,3,4,3,3,3,"Slightly declined","BadNewsGame",17.1885166666667,"6128",0.5381,"memes","probably","maybe",5,5,0.5,5,3.5,3.5,4,4.5,5,4.5,2.66666666666667,3,3,2.66666666666667,3,2.86666666666667
"S140","USA",57.3138333333333,"18/10/2024","06:03:56","chrome","false","Windows 10",1536,730,"Woman","Other",34,"Black","Yes","unlikely",1,4,0,4,1,4,1,4,0,3,0.465616666666667,"Moderate","None or Independent",0,3,3,3,4,3,"Slightly improved","BadNewsGame",15.6443666666667,"11,785",1.8369,"The comments from my loyal followers and it was fun","Yes","Yes",4,3.5,6,6,5.16666666666667,4.5,4.5,5,1,4,2.33333333333333,2.33333333333333,2.33333333333333,4,3,2.8
"S143","USA",25.6361,"18/10/2024","07:49:32","chrome","false","Windows 10",1920,919,"Man","Bachelor",68,"Caucasian","Yes","likely",4,1,3,1,0,0,2,1,1,4,0.112516666666667,"Liberal","Democrat",1,1,2,1,1,1,"Improved","BadNewsGame",12.7231,"5000",0.8693,"Those clever prompts really made me feel I was having a real conv","yes","yes",2,1,0.5,0,0.5,2.5,1,2,3,5,1,1,1,1,1.33333333333333,1.06666666666667
"S144","USA",45.0547666666667,"18/10/2024","08:46:25","chrome","false","Windows 10",1920,945,"Woman","Bachelor",67,"Caucasian","Yes","unlikely",3,4,4,4,0,1,0,4,0,4,0.207533333333333,"Slightly Liberal","None or Independent",0,0,1,0,0,0,"No impact","Tetris",19.5552666666667,"2200",0.65125,"Trying to fit the shapes in the best way","yes","yes",3,1.5,0,2.5,1.33333333333333,5,2,3,1,5,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.266666666666667
"S145","USA",48.5975333333333,"18/10/2024","07:55:41","chrome","false","Chrome OS",1536,730,"Woman","High School",52,"Hispanic","Yes","likely",3,3,1,0,1,3,0,3,3,1,0.21715,"Extremely Conservative","Republican",0,4,4,3,0,4,"Slightly improved","BadNewsGame",19.3011166666667,"16495",1.67638333333333,"finding how easy fake stories could spread","maybe","no",7,7,8,7.5,7.5,4.5,3,4,4.5,3,2.66666666666667,0,3,1,4,2.13333333333333
