"Participant","Sample","Experiment_Duration","Date","Time","Browser","Mobile","Platform","Screen_Width","Screen_Height","Gender","Education","Age","Ethnicity","COVID_Vaccination","FakeNews_SubjectiveDiscrimination","BFI_Duration","BFI10_1","BFI10_2","BFI10_3","BFI10_4","BFI10_5","BFI10_6","BFI10_7","BFI10_8","BFI10_9","BFI10_10","VSA_Duration","VSA_1","VSA_2","VSA_3","VSA_4","VSA_5","VSA_6","ANES_Duration","Political_Ideology","Political_Affiliation","GCBS_Duration","GCBS15_13","GCBS15_10","GCBS15_15","GCBS15_8","GCBS15_2","GCBS15_1","GCBS15_12","GCBS15_14","GCBS15_3","GCBS15_9","GCBS15_7","GCBS15_4","GCBS15_11","GCBS15_5","GCBS15_6","Intervention_Questions_Confidence","Intervention","Intervention_Duration","Intervention_Questions_Score","Intervention_Questions_Duration","Intervention_Questions_Favorite","Intervention_Questions_Repeat","Intervention_Questions_Recommend","MOCRI_PRE_2_NonManipulative","MOCRI_PRE_11_NonManipulative","MOCRI_PRE_12_Manipulative","MOCRI_PRE_4_NonManipulative","MOCRI_PRE_3_Manipulative","MOCRI_PRE_9_NonManipulative","MOCRI_PRE_5_NonManipulative","MOCRI_PRE_1_Manipulative","MOCRI_PRE_8_Manipulative","MOCRI_PRE_6_Manipulative","MOCRI_PRE_10_Manipulative","MOCRI_PRE_7_NonManipulative","MOCRI_POST_1_NonManipulative","MOCRI_POST_4_NonManipulative","MOCRI_POST_3_Manipulative","MOCRI_POST_9_NonManipulative","MOCRI_POST_6_Manipulative","MOCRI_POST_11_NonManipulative","MOCRI_POST_12_NonManipulative","MOCRI_POST_8_Manipulative","MOCRI_POST_7_Manipulative","MOCRI_POST_10_Manipulative","MOCRI_POST_5_NonManipulative","MOCRI_POST_2_Manipulative"
"S011","USA",22.1645833333333,"29/08/2024","06:08:57","chrome","false","Chrome OS",1300,561,"Woman","Other",44,"caucasion","No","unlikely",1.22606666666667,3,1,0,1,3,3,3,4,3,1,0.523366666666667,0,7,7,3,1,7,0.09935,"Moderate","None or Independent",1.17891666666667,1,3,3,2,3,1,3,3,1,2,3,3,3,3,1,"No impact","Tetris",8.36666666666667,"988",0.4231,"I really don't care for tetris","if I had to","sure its just not my thing",0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1
"S012","USA",52.8067166666667,"18/10/2024","05:16:31","chrome","false","Mac OS",1440,778,"Woman","Doctorate",55,"Caucasian","Yes","likely",1.09548333333333,1,2,3,3,1,3,1,3,1,3,1.1564,7,1,1,7,6,2,0.415983333333333,"Liberal","Democrat",2.2994,3,4,4,3,3,3,3,4,3,4,3,3,4,4,3,"Improved","BadNewsGame",28.0205666666667,"6.1 something? I really didn't look...",0.958233333333333,"Picking memes.","Yes","Maybe",0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
"S013","USA",50.1297333333333,"18/10/2024","07:29:24","chrome","false","Windows 10",1920,969,"Man","Bachelor",61,"Caucasian","Yes","unlikely",1.1371,3,3,3,3,0,3,0,4,3,4,1.1224,2,2,2,7,3,7,0.382066666666667,"Slightly Conservative","None or Independent",3.41831666666667,2,2,1,3,0,1,0,1,2,0,0,0,1,3,0,"Improved","BadNewsGame",25.3336333333333,"19000",0.8424,"Choosing what to post","yes","yes",0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S014","USA",39.0435,"18/10/2024","08:44:01","chrome","false","Windows 10",1114,511,"Woman","Bachelor",37,"latino","No","unlikely",0.686116666666667,4,0,2,3,1,0,4,4,4,3,1.03238333333333,0,5,5,5,4,8,0.145133333333333,"Conservative","Republican",1.92348333333333,4,4,4,3,4,4,3,4,2,3,3,4,3,3,4,"Slightly improved","BadNewsGame",22.0087333333333,"12,579",0.633233333333333,"conspiracy","yes","yes",1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
"S015","USA",61.2090666666667,"18/10/2024","07:19:32","opera","false","Mac OS",1868,947,"Woman","Bachelor",56,"Ashkenazi","Yes","unlikely",0.948283333333333,3,2,1,3,0,2,2,4,0,4,0.439433333333333,8,0,0,8,8,0,0.24215,"Extremely Liberal","Democrat",12.1107166666667,0,1,2,0,2,3,2,0,0,0,2,0,2,0,2,"No impact","BadNewsGame",14.7397833333333,"16221",0.928016666666667,"nothing","no","no",0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0
"S016","USA",31.9429666666667,"18/10/2024","06:19:04","chrome","true","Android OS",980,1842,"Woman","High School",NA,"Caucasian ","No","likely",0.53715,2,4,1,1,1,4,0,4,3,3,0.643016666666667,0,3,4,3,1,5,0.0897,"Moderate","None or Independent",1.72125,2,3,3,2,1,3,3,3,2,2,2,3,3,3,3,"Improved","BadNewsGame",14.9875166666667,"15715",0.561883333333333,"Everything","Yes","Yes",1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0
"S017","USA",40.4370833333333,"04/11/2024","09:21:40","edge-chromium","false","Windows 10",1528,704,"Woman","Bachelor",68,"Caucasian","Yes","likely",0.741433333333333,3,3,0,2,0,3,3,4,2,3,1.42375,5,3,4,5,5,4,0.183716666666667,"Moderate","None or Independent",1.85726666666667,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2,"No impact","Tetris",13.9923666666667,"2514",0.464433333333333,"colors","yes","yes",1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
"S018","USA",57.2873833333333,"18/10/2024","09:00:56","chrome","false","Windows 10",1280,585,"Woman","Master",47,"Causacian","Yes","unlikely",2.04723333333333,3,3,0,4,1,2,0,4,1,3,4.51526666666667,3,7,7,1,1,5,3.11261666666667,"Conservative","Republican",5.96403333333333,1,0,1,2,1,0,1,2,3,2,1,1,0,1,3,"Improved","BadNewsGame",25.4571333333333,"5.538",0.460533333333333,"the meme","yes","yes",1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0
"S019","USA",67.8548,"04/11/2024","08:40:59","chrome","false","Windows 10",1920,953,"Man","Bachelor",29,"White","Yes","very likely",2.94231666666667,1,2,3,2,3,2,3,2,3,2,0.141166666666667,5,6,7,5,4,3,0.114566666666667,"Slightly Conservative","Republican",0.3338,2,2,3,3,2,2,1,2,3,2,3,2,1,3,2,"Greatly improved","BadNewsGame",9.3106,"10.403",0.35125,"Impersonating someone else and disguising yourself as a credible news source can be highly effective. ","yes","yes",1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0
"S020","USA",36.2537833333333,"18/10/2024","06:46:26","chrome","false","Windows 10",1366,645,"Man","High School",69,"Caucasian ","Yes","likely",0.618933333333333,1,3,0,3,1,3,3,4,1,3,0.827183333333333,2,6,5,8,3,5,0.15695,"Conservative","Republican",1.82408333333333,1,1,2,2,1,0,1,0,1,1,1,2,1,1,0,"No impact","Tetris",19.0319,"28000",0.91965,"The outline showing where the pattern would likely go.","yes","yes",1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0
"S021","USA",45.8585166666667,"18/10/2024","06:56:08","chrome","false","Chrome OS",1920,911,"Woman","Bachelor",35,"caucasion","No","likely",0.539483333333333,3,3,1,1,0,1,1,3,4,4,0.907733333333333,3,5,2,8,5,6,0.105883333333333,"Slightly Conservative","Republican",1.4835,0,1,3,0,1,3,1,1,0,0,1,1,3,3,1,"Improved","BadNewsGame",28.9371166666667,"18369",0.527166666666667,"the memes","no","yes",1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0
"S022","USA",31.7071,"18/10/2024","04:45:31","crios","true","iOS",980,1681,"Woman","High School",21,"Caucasian","Yes","unlikely",0.578666666666667,4,4,4,4,0,0,2,4,4,4,0.796666666666667,4,3,7,5,3,7,0.156383333333333,"Slightly Conservative","None or Independent",2.41393333333333,3,3,3,1,2,3,2,3,0,1,2,3,3,1,2,"Greatly improved","BadNewsGame",13.6321166666667,"16549",0.576016666666667,"Gaining more supporters was fun","Yes I would wanna get a better score","Yes",1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0
"S023","USA",38.9372,"18/10/2024","07:10:32","firefox","false","Windows 10",1920,919,"Man","High School",33,"white","No","unlikely",0.39665,4,0,2,0,0,0,3,3,4,4,0.8534,4,1,0,8,6,1,0.704383333333333,"Moderate","Democrat",1.5267,0,2,3,0,0,2,0,3,0,0,0,0,3,1,1,"Slightly improved","BadNewsGame",17.8508833333333,"14094",0.748316666666667,"interacting with the ai","yes","yes ",1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
"S024","USA",58.7874166666667,"18/10/2024","07:01:28","chrome","false","Windows 10",1536,695,"Woman","Bachelor",49,"Asian","Yes","likely",0.783066666666667,3,4,0,3,0,3,0,4,3,4,1.57081666666667,2,6,7,7,3,6,0.1388,"Slightly Conservative","Republican",2.8951,0,1,3,0,1,1,1,1,1,1,3,3,1,1,1,"Slightly improved","BadNewsGame",30.7765166666667,"16.462",1.02745,"format makes it fun","yes","yes",1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
"S025","USA",30.5994833333333,"18/10/2024","07:08:00","firefox","false","Mac OS",1380,701,"Woman","High School",31,"Caucasian","No","unlikely",0.655,2,1,2,1,1,1,2,3,4,4,0.708166666666667,5,3,4,7,6,5,0.116633333333333,"Moderate","Republican",1.32808333333333,1,3,4,1,3,3,3,3,1,2,3,3,4,1,4,"No impact","Tetris",15.6496,"8997",0.9189,"How easy the controls were to learn.","Yes.","Yes.",1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
"S026","USA",36.11335,"18/10/2024","06:42:45","chrome","false","Mac OS",1302,705,"Man","Doctorate",57,"White","Yes","very likely",2.63073333333333,3,4,1,2,2,3,1,3,1,2,7.0026,6,7,8,0,4,7,0.22265,"Moderate","Democrat",2.40496666666667,2,2,4,3,2,0,2,3,3,3,2,3,3,3,2,"Improved","Tetris",12.1485833333333,"5000",0.8002,"Tetris","Yes","Yes",1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1
